card_uid,status,created_at,updated_at,last_payload,notes
,ACTIVE,2026-07-10T14:35:23.724Z,2026-07-10T14:35:23.724Z,"{""type"":""selecting"",""user_name"":""matt"",""v"":1}",
94 7D 14 BB,ACTIVE,2026-07-10T14:35:23.724Z,2026-07-10T14:35:35.289Z,"{""type"":""selecting"",""user_name"":""matt"",""v"":1}",
